# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Getup Agency
# Propriété : Bricometal.shop
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260102
# Date de fin : 20260129
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/67-support-a-visser-souder,95,47,2.021276595744681,50.91489361702128,207,0,0
/rails-au-sol-galvanises-inox-pour-portails/5330-rail-a-visser-perce-pour-galet-a-gorge.html,93,44,2.1136363636363638,72.68181818181819,275,0,0
/368-axe-a-visser-serie-standard,91,39,2.3333333333333335,52.17948717948718,201,0,0
/kits-pour-portail-pliant/5524-mecanisme-en-kit-pour-portail-pliant-de-190m-a-5m-de-largeur-maximum-avec-pivots-pour-tube-carre-de-40mm-bi-folding-fac-8016504107376.html,91,63,1.4444444444444444,42.142857142857146,443,0,0
/accessoires-en-pieces-detachees-radius/5576-charniere-desaxee-pour-portail-coulissant-sectionnel-articule-en-acier-galvanise-systeme-radius-fac.html,90,55,1.6363636363636365,74.36363636363636,408,0,0
/pivots-a-roulements/517-ensemble-de-pivots-haut-et-bas-sur-roulement-a-souder-pour-tube-de-40x40mm-sur-platine-a-visser-pour-portail-pivotant-8016504094812.html,90,67,1.3432835820895523,65.46268656716418,451,0,0
/serrures-a-encastrer/2309-serrure-a-encastrer-tout-inox-fortylock-axe-de-20-mm-pour-profils-de-40mm-et-plus-5414768018699.html,89,60,1.4833333333333334,74.21666666666667,418,0,0
/123-fers-de-lance,88,32,2.75,74.65625,226,0,0
/374-gonds-sur-platine-a-visser,88,48,1.8333333333333333,36.5,219,0,0
/rails-galvanises-pour-portes-suspendues/4372-rail-galvanise-pour-porte-coulissante-suspendue-6m-57x67mm-8016504028756.html,88,72,1.2222222222222223,40.666666666666664,462,0,0
/barreaux-de-fenetre/1401-barreau-en-aluminium-carre-de-14-l185xh1000.html,87,58,1.5,0.8620689655172413,381,0,0
/promotions/3012-verrou-baionnette-galvanise-pour-portails-et-portillons-longueur-320mm-largeur-100mm-o16mm-a-visser-0634065426385.html,87,50,1.74,69.56,420,0,0
/rails-galvanises-pour-portes-suspendues/4370-rail-galvanise-pour-porte-coulissante-suspendue-6m-42x54mm-8016504028725.html,87,65,1.3384615384615384,50.46153846153846,466,0,0
/303-barres,86,37,2.324324324324324,51.729729729729726,237,0,0
/kits-pour-portail-pliant/5525-mecanisme-en-kit-pour-portail-pliant-de-190m-a-5m-de-largeur-maximum-avec-pivots-pour-tube-carre-de-50mm-bi-folding-fac-8016504107383.html,85,67,1.2686567164179106,32.134328358208954,439,0,0
/371-support-a-souder,84,51,1.6470588235294117,23.333333333333332,257,0,0
/pivots-pour-portails-en-pente/3074-gond-pour-portail-pivotant-regulateur-de-pente-porte-de-droite-8016504101220.html,84,59,1.423728813559322,52.152542372881356,387,0,0
/46-portes-coulissantes-suspendues,83,47,1.7659574468085106,45.255319148936174,187,0,0
/barreaux-en-acier/1539-barreau-forge-decoratif-double-bagues-o14mm-hauteur-1000mm-acier-brut.html,83,54,1.537037037037037,0.14814814814814814,355,0,0
/content/1-livraison-retour,83,64,1.296875,54.640625,194,0,0
/149-poignees,82,61,1.3442622950819672,19.885245901639344,245,0,0
/30-verrous-targettes,81,45,1.8,36.46666666666667,230,0,0
/gonds-portillon/2359-charniere-180-degre-reglage-tridimensionnel-a-souder-boulon-a-oeil-m12-galvanise-vendu-a-l-unite-5414768020029.html,81,52,1.5576923076923077,79.59615384615384,389,0,0
/136-platines,79,61,1.2950819672131149,36.950819672131146,213,0,0
/204-serrures-a-encastrer,79,37,2.135135135135135,52.189189189189186,174,0,0
/125-motorisation-portails-pivotants,78,35,2.2285714285714286,33.114285714285714,191,0,0
/291-portails-coulissants-avec-locinox,78,46,1.6956521739130435,32.80434782608695,198,0,0
/kits-d-accessoires-radius-optimum/5783-kit-d-accessoires-pour-portail-coulissant-sectionnel-a-courbe-ouverture-de-6m-fac-radius-optimum-8017100117431.html,77,39,1.9743589743589745,36.666666666666664,317,0,0
/sav-locinox/4403-insert-de-fixation-pour-gamme-locinox-vendu-a-l-unite-5414768006689.html,77,29,2.6551724137931036,201.31034482758622,347,0,0
/373-gonds-ferronnerie,76,68,1.1176470588235294,6.323529411764706,319,0,0
/83-palmettes-et-rosaces,76,43,1.7674418604651163,36.06976744186046,196,0,0
/452-meilleures-serrures-pour-portail,75,34,2.2058823529411766,62.588235294117645,209,0,0
/plaques-de-guidage-superieur/5825-plaque-de-guidage-pour-portail-coulissant-avec-deux-olives-longues-o40mm-hauteur-150mm-m12.html,75,43,1.744186046511628,76.06976744186046,350,0,0
/10-butees-portail-coulissant,74,51,1.4509803921568627,33.88235294117647,199,0,0
/31-butees-pour-portail-pivotant,73,43,1.697674418604651,43.16279069767442,196,0,0
/32-ferme-portes,73,48,1.5208333333333333,42.083333333333336,172,0,0
/159-bordures-defensives,72,49,1.469387755102041,56.46938775510204,200,0,0
/450-charnieres-gond-et-pivots-pour-portails-en-pente,72,43,1.6744186046511629,45.58139534883721,221,0,0
/kits-d-accessoires-radius-optimum/5779-kit-d-accessoires-pour-portail-coulissant-sectionnel-a-courbe-ouverture-de-350m-fac-radius-optimum-8017096117392.html,72,51,1.411764705882353,47.86274509803921,295,0,0
/promotions/3030-gond-reglable-pour-porte-en-bois-m20-montage-en-applique-0634065398606.html,72,46,1.565217391304348,63.91304347826087,363,0,0
/serrures-type-industriel/3441-serrure-locinox-modele-industriel-couleur-argentee-pour-profil-epaisseur-40-50-60-entraxe-60mm-5414768014134.html,72,61,1.180327868852459,31.18032786885246,326,0,0
/430-portails-pliants,69,37,1.864864864864865,48.891891891891895,149,0,0
/accessoires-en-pieces-detachees-radius/5579-rail-o16mm-courbe-cintre-rayon-100cm-pour-portail-coulissant-sectionnel-articule-systeme-radius.html,69,58,1.1896551724137931,32.46551724137931,346,0,0
/kits-d-accessoires-radius-optimum/5780-kit-d-accessoires-pour-portail-coulissant-sectionnel-a-courbe-ouverture-de-375m-fac-radius-optimum-8017097117407.html,69,46,1.5,49.71739130434783,281,0,0
/372-support-a-visser,67,44,1.5227272727272727,23.636363636363637,151,0,0
/466-portail-telescopique-2-vantaux-ouverture-jusqu-a-40m,67,48,1.3958333333333333,32.666666666666664,180,0,0
/plaques-de-guidage-superieur/398-guidage-pour-portail-coulissant-a-visser-reglable-avec-2-olives-o40mm-largeur-175mm.html,66,45,1.4666666666666666,77.86666666666666,302,0,0
/promotions/3047-butee-a-visser-pour-portail-platine-100x100mm-hauteur-146mm-modele-economique-0634065409685.html,65,20,3.25,47.25,275,0,0
/bordures-defensives/5786-pics-anti-pigeons-bordure-repulsive-anti-oiseaux-24x15mm-longueur-1500mm-inox-304l.html,64,38,1.6842105263157894,18.894736842105264,310,0,0
/461-portail-telescopique-3-vantaux-ouverture-jusqu-a-60m,63,37,1.7027027027027026,30.513513513513512,163,0,0
/bordures-defensives/1662-bordure-defensive-en-acier-brut-decoupee-au-laser-40mm-de-hauteur-1980mm-de-longueur-3mm-d-epaisseur.html,63,35,1.8,121.28571428571429,282,0,0
/butees-portail-coulissant/1639-paire-de-butees-de-fin-de-course-universelle-pour-cremaillere-de-portail-coulissant.html,63,44,1.4318181818181819,42.95454545454545,331,0,0
/chariots-coulissants-pour-portes-suspendues/899-chariot-pour-porte-suspendue-a-4-galets-o24mm-avec-roulements-m8-acier-galvanise-8016504027728.html,63,45,1.4,63.06666666666667,310,0,0
/418-serrures-a-code-mecanique,62,32,1.9375,35.65625,156,0,0
